FPR SUN,FPR Places,FPR DTD,FPR iNaturalist,AUC SUN,AUC Places,AUC DTD,AUC iNaturalist,Combination,Average FPR,Average AUC
0.3975,0.4909,0.3687943262411347,0.09,0.910018911,0.881437863,0.9188528280141844,0.981272509,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11]",0.3367985815602837,0.9228955277535461
0.4024,0.5051,0.3640070921985815,0.0903,0.908398935,0.878233156,0.9196031046099292,0.98129522,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11]",0.34045177304964536,0.9218826039024823
0.3761,0.4754,0.3411347517730496,0.0954,0.915403682,0.8861233020000001,0.9256511719858156,0.980424423,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11]",0.3220086879432624,0.926900644746454
0.3799,0.477,0.3863475177304964,0.078,0.912361161,0.8847042199999999,0.9139722145390072,0.983606179,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11]",0.33031187943262413,0.9236609436347518
0.3624,0.4613,0.3558510638297872,0.0815,0.9181500349999998,0.889742816,0.9216205709219858,0.983020304,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11]",0.3152627659574468,0.9281334314804964
0.378,0.4709,0.3453900709219858,0.0973,0.915058969,0.8886817800000001,0.9253259751773047,0.980135673,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11]",0.3228975177304964,0.9273005992943262
0.3565,0.4495,0.3595744680851064,0.0815,0.9191919000000002,0.8922915260000001,0.9202299982269504,0.982774834,"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11]",0.3117686170212766,0.9286220645567376
0.4242,0.5339,0.3579787234042553,0.1018,0.9030612610000002,0.8690722679999999,0.9221615691489362,0.979128409,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11]",0.3544696808510638,0.9183558767872341
0.3791,0.4743,0.3333333333333333,0.0911,0.914500712,0.8872445589999999,0.92649140070922,0.98103443,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11]",0.3194583333333333,0.927317775427305
0.3977,0.4999,0.3710992907801418,0.0858,0.907975863,0.8766141869999999,0.9174910478723404,0.982033595,"[0, 1, 2, 3, 4, 5, 7, 9, 10, 11]",0.33862482269503547,0.921028673218085
0.3562,0.4468,0.3588652482269504,0.083,0.91895239,0.8948153029999999,0.9202512411347518,0.982642269,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",0.31121631205673755,0.9291653007836879
0.3614,0.4546,0.3542553191489361,0.0816,0.917771375,0.8921425270000001,0.9214551560283688,0.982812698,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11]",0.312963829787234,0.9285454390070922
0.4064,0.5151,0.3723404255319149,0.0863,0.906028936,0.872989043,0.9179256046099292,0.98192515,"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11]",0.34503510638297874,0.9197171834024823
0.3759,0.4846,0.3457446808510638,0.0912,0.913445592,0.88138198,0.9244355265957448,0.981278902,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11]",0.32436117021276595,0.9251355001489362
0.3643,0.4605,0.350886524822695,0.0783,0.91728398,0.8906933269999999,0.9226488847517732,0.983646543,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11]",0.3134966312056737,0.9285681836879432
